charge_code,route,mm_start,mm_end,description
58011,50,32.9,35.0,KAUMUALII HWY MISSLE RGE (N ENT) TO KEKAHA RD
58012,50,32.9,35.0,KAUMUALII HWY MISSLE RGE (N ENT) TO KEKAHA RD
58013,50,32.9,35.0,KAUMUALII HWY MISSLE RGE (N ENT) TO KEKAHA RD
58014,50,32.9,35.0,KAUMUALII HWY MISSLE RGE (N ENT) TO KEKAHA RD
58015,50,32.9,35.0,KAUMUALII HWY MISSLE RGE (N ENT) TO KEKAHA RD
58016,50,32.9,35.0,KAUMUALII HWY MISSLE RGE (N ENT) TO KEKAHA RD
58021,50,35.0,39.5,KAUMUALII HWY KEKAHA RD TO LELE RD (HANAPEPE)
58022,50,35.0,39.5,KAUMUALII HWY KEKAHA RD TO LELE RD (HANAPEPE)
58023,50,35.0,39.5,KAUMUALII HWY KEKAHA RD TO LELE RD (HANAPEPE)
58024,50,35.0,39.5,KAUMUALII HWY KEKAHA RD TO LELE RD (HANAPEPE)
58025,50,35.0,39.5,KAUMUALII HWY KEKAHA RD TO LELE RD (HANAPEPE)
58026,50,35.0,39.5,KAUMUALII HWY KEKAHA RD TO LELE RD (HANAPEPE)
58031,50,39.5,48.5,KAUMUALII HWY LELE TO KOLOA RD(NR LAWAI BR)
58032,50,39.5,48.5,KAUMUALII HWY LELE TO KOLOA RD(NR LAWAI BR)
58033,50,39.5,48.5,KAUMUALII HWY LELE TO KOLOA RD(NR LAWAI BR)
58034,50,39.5,48.5,KAUMUALII HWY LELE TO KOLOA RD(NR LAWAI BR)
58035,50,39.5,48.5,KAUMUALII HWY LELE TO KOLOA RD(NR LAWAI BR)
58036,50,39.5,48.5,KAUMUALII HWY LELE TO KOLOA RD(NR LAWAI BR)
58041,50,48.5,55.3,KAUMUALII HWY VIC KOLOA RD TO PUHI RD
58042,50,48.5,55.3,KAUMUALII HWY VIC KOLOA RD TO PUHI RD
58043,50,48.5,55.3,KAUMUALII HWY VIC KOLOA RD TO PUHI RD
58044,50,48.5,55.3,KAUMUALII HWY VIC KOLOA RD TO PUHI RD
58045,50,48.5,55.3,KAUMUALII HWY VIC KOLOA RD TO PUHI RD
58046,50,48.5,55.3,KAUMUALII HWY VIC KOLOA RD TO PUHI RD
58051,50,55.3,57.0,KAUMUALII HWY PUHI RD TO RICE ST(LIHUE)
58052,50,55.3,57.0,KAUMUALII HWY PUHI RD TO RICE ST(LIHUE)
58053,50,55.3,57.0,KAUMUALII HWY PUHI RD TO RICE ST(LIHUE)
58054,50,55.3,57.0,KAUMUALII HWY PUHI RD TO RICE ST(LIHUE)
58055,50,55.3,57.0,KAUMUALII HWY PUHI RD TO RICE ST(LIHUE)
58056,50,55.3,57.0,KAUMUALII HWY PUHI RD TO RICE ST(LIHUE)
58111,51,0.0,2.0,KAPULE HWY RICE ST TO AHUKINI RD
58112,51,0.0,2.0,KAPULE HWY RICE ST TO AHUKINI RD
58113,51,0.0,2.0,KAPULE HWY RICE ST TO AHUKINI RD
58114,51,0.0,2.0,KAPULE HWY RICE ST TO AHUKINI RD
58115,51,0.0,2.0,KAPULE HWY RICE ST TO AHUKINI RD
58116,51,0.0,2.0,KAPULE HWY RICE ST TO AHUKINI RD
58131,51,2.0,3.4,KAPULE HWY AHUKINI RD TO KUHIO HWY 1.5 MI
58132,51,2.0,3.4,KAPULE HWY AHUKINI RD TO KUHIO HWY 1.5 MI
58133,51,2.0,3.4,KAPULE HWY AHUKINI RD TO KUHIO HWY 1.5 MI
58134,51,2.0,3.4,KAPULE HWY AHUKINI RD TO KUHIO HWY 1.5 MI
58135,51,2.0,3.4,KAPULE HWY AHUKINI RD TO KUHIO HWY 1.5 MI
58136,51,2.0,3.4,KAPULE HWY AHUKINI RD TO KUHIO HWY 1.5 MI
58151,56,0.0,9.9,KUHIO HWY RICE ST(LIHUE) TO MAILIHUNA RD
58152,56,0.0,9.9,KUHIO HWY RICE ST(LIHUE) TO MAILIHUNA RD
58153,56,0.0,9.9,KUHIO HWY RICE ST(LIHUE) TO MAILIHUNA RD
58154,56,0.0,9.9,KUHIO HWY RICE ST(LIHUE) TO MAILIHUNA RD
58155,56,0.0,9.9,KUHIO HWY RICE ST(LIHUE) TO MAILIHUNA RD
58156,56,0.0,9.9,KUHIO HWY RICE ST(LIHUE) TO MAILIHUNA RD
58161,56,9.9,15.1,KUHIO HWY MAILIHUNA RD TO ANAHOLA RD
58162,56,9.9,15.1,KUHIO HWY MAILIHUNA RD TO ANAHOLA RD
58163,56,9.9,15.1,KUHIO HWY MAILIHUNA RD TO ANAHOLA RD
58164,56,9.9,15.1,KUHIO HWY MAILIHUNA RD TO ANAHOLA RD
58165,56,9.9,15.1,KUHIO HWY MAILIHUNA RD TO ANAHOLA RD
58166,56,9.9,15.1,KUHIO HWY MAILIHUNA RD TO ANAHOLA RD
58171,56,15.1,24.3,KUHIO HWY ANAHOLA RD TO KOLO RD(KILAUEA)
58172,56,15.1,24.3,KUHIO HWY ANAHOLA RD TO KOLO RD(KILAUEA)
58173,56,15.1,24.3,KUHIO HWY ANAHOLA RD TO KOLO RD(KILAUEA)
58174,56,15.1,24.3,KUHIO HWY ANAHOLA RD TO KOLO RD(KILAUEA)
