section_id,route,mm_start,mm_end,description,charge_code
S01,50,32.9,35.0,KAUMUALII HWY MISSLE RGE (N ENT) TO KEKAHA RD,58011;58012;58013;58014;58015;58016
S02,50,35.0,39.5,KAUMUALII HWY KEKAHA RD TO LELE RD (HANAPEPE),58021;58022;58023;58024;58025;58026
S03,50,39.5,48.5,KAUMUALII HWY LELE TO KOLOA RD(NR LAWAI BR),58031;58032;58033;58034;58035;58036
S04,50,48.5,55.3,KAUMUALII HWY VIC KOLOA RD TO PUHI RD,58041;58042;58043;58044;58045;58046
S05,50,55.3,57.0,KAUMUALII HWY PUHI RD TO RICE ST(LIHUE),58051;58052;58053;58054;58055;58056
S06,51,0.0,2.0,KAPULE HWY RICE ST TO AHUKINI RD,58111;58112;58113;58114;58115;58116
S07,51,2.0,3.4,KAPULE HWY AHUKINI RD TO KUHIO HWY 1.5 MI,58131;58132;58133;58134;58135;58136
S08,56,0.0,9.9,KUHIO HWY RICE ST(LIHUE) TO MAILIHUNA RD,58151;58152;58153;58154;58155;58156
S09,56,9.9,15.1,KUHIO HWY MAILIHUNA RD TO ANAHOLA RD,58161;58162;58163;58164;58165;58166
S10,56,15.1,24.3,KUHIO HWY ANAHOLA RD TO KOLO RD(KILAUEA),58171;58172;58173;58174;58175;58176
S11,56,24.3,28.1,KUHIO HWY KOLO RD TO KA HAKU RD,58181;58182;58183;58184;58185;58186
S12,58,0.0,2.1,WAAPA RD/RICE ST NAWILIWILI RD TO KAPULE HWY,58101;58102;58103;58104;58105;58106
S13,58,2.1,0.0,"NAWILIWILI RD, KAUMUALII HWY TO WAAPA RD",58201;58202;58203;58204;58205;58206
S14,540,0.0,3.8,"HALEWILI RD, ELEELE(JCT) TO KALAHEO(JCT)",58351;58352;58353;58354;58355;58356
S15,541,0.0,0.37,"WAIALO RD, KAUMUALII HWY(ELEELE) TO PT ALLEN",58402;58403;58404;58405;58406
S16,550,0.0,6.9,"WAIMEA CANYON DR, KAUMUALII HWY TO KOKEE RD",58501;58502;58503;58504;58505;58506
S17,550,6.9,14.1,"KOKEE RD, WAIMEA CANYON DR TO HALEMANU",58510;58511;58512;58513;58514;58515;58516
S18,560,0.0,10.0,"KUHIO HWY, KA HAKU RD TO HAENA(END PVMT)",58601;58602;58603;58604;58605;58606
S19,570,0.0,1.4,"AHUKINI RD,KUHIO HWY TO VIC KAPULE HWY(290'E)",58701;58702;58703;58704;58705;58706
S20,580,0.0,6.68,"KUAMOO RD, KUHIO HWY (WAILUA) TO END LOOP RD",58801;58802;58803;58804;58805;58806
S21,583,0.0,3.91,"MAALO RD, KUHIO HWY(LIHUE) TO WAILUA FALLS",58901;58902;58903;58904;58905;58906
S22,5600,0.0,3.0,KAPAA BY-PASS ROAD,58191;58192;58193;58194;58195;58196
